Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value
Aira,Poaceae,Poales,0.0,0.0,0.0,0.0,0.074314214,1.0,1.0,1.0,0.0,1.7807017544210528,0.49689285714285714,4.3275,36.3613866
Ajuga,Lamiaceae,Lamiales,3.80952381,0.266666667,0.866666667,0.0,0.004320557,0.9583333333749999,1.0,0.875,1.0,1.5795454545454546,0.664,1.1319000933529413,
Albizia,Fabaceae,Fabales,0.0,0.0,1.0,1.0,0.096494845,0.0,1.0,0.9291558728928572,1.0,1.966666667,0.951,1.215,7.565751568
Alcea,Malvaceae,Malvales,0.0,0.0,1.0,0.0,0.006153846,0.0,1.0,1.0,1.0,3.56964285725,0.34850000000000003,1.2520882353333334,
Alchemilla,Rosaceae,Rosales,0.012986001,0.017985612,1.0,0.0,0.001060071,0.0,0.0,0.5,1.0,2.1739697801,0.8256875,0.7405270453157895,
Alectryon,Sapindaceae,Sapindales,0.0,0.0,1.0,1.0,0.001265823,0.0,1.0,0.9583333334999999,0.7666666666,3.0,0.945,0.6195454545,
Alhagi,Fabaceae,Fabales,0.0,0.0,1.0,1.0,0.096494845,0.7719298245789473,1.0,0.9291558728928572,1.0,2.075313283157895,0.5700679541176471,1.6492406904042554,
Alisma,Alismataceae,Alismatales,0.526315789,0.05,0.925,0.1,0.0,0.0,1.0,0.5,0.833333333,2.0,0.74,12.7125,6.471772929
Alkanna,Boraginaceae,Boraginales,0.0,0.0,0.941176471,0.0,0.001824818,0.0,1.0,0.8851851851666667,0.9736842105263158,2.9123376622857142,0.7039500000000001,1.4171923077000002,
Allium,Amaryllidaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.543478261,1.0,4.0,0.91,19.9175,35.5560929
Allocasuarina,Casuarinaceae,Fagales,1.818181818,0.090909091,1.0,1.0,0.094736842,0.28760069469672456,0.9841325564285818,0.7694294731480881,0.0,2.3942552466726874,0.6304592000547441,0.95,
Allophyllum,Polemoniaceae,Ericales,0.0,0.0,0.0,0.0,0.0,0.28760069469672456,1.0,0.8333333333333334,1.0,2.3942552466726874,0.4076666666666666,1.7000000000000002,
Almaleea,Fabaceae,Fabales,0.0,0.0,1.0,1.0,0.096494845,0.7719298245789473,1.0,0.9291558728928572,1.0,2.075313283157895,0.5700679541176471,1.6492406904042554,
Alnus,Betulaceae,Fagales,0.865800866,0.090909091,1.0,1.0,0.054545455,0.28760069469672456,1.0,0.833333333,0.0,0.166666667,0.913666667,0.642,19.74571709
Aloe,Xanthorrhoeaceae,Asparagales,0.0,0.0,1.0,0.555555556,0.0,0.0,1.0,0.5,1.0,1.5,0.946,16.91779817,26.17850112
Alopecurus,Poaceae,Poales,0.634249471,0.136363636,0.647727273,0.0,0.074314214,1.0,1.0,0.642857143,0.0,1.7807017544210528,0.49689285714285714,8.914,71.57951463
Alsinidendron,Caryophyllaceae,Caryophyllales,0.0,0.0,1.0,0.0,0.001818182,0.0,1.0,0.9091866028421052,0.95541666665,4.0,0.0,0.833333333,13.48777224
Alternanthera,Amaranthaceae,Caryophyllales,0.0,0.0,0.821428571,0.071428571,0.041463415,0.0,1.0,0.9744318181818182,0.5,1.888888889,0.199,1.3453542688666666,
Althaea,Malvaceae,Malvales,0.0,0.0,0.611111111,0.0,0.006153846,0.0,1.0,1.0,1.0,3.56964285725,0.34850000000000003,1.2520882353333334,
Alyssoides,Brassicaceae,Brassicales,0.0,0.0,1.0,0.0,0.00485306,0.0,0.998958333325,0.90956349205,0.9974160206744186,2.9222222222222225,0.4929733334,0.8330963370185186,
Alyssum,Brassicaceae,Brassicales,0.0,0.0,0.675324675,0.0,0.00485306,0.0,1.0,1.0,1.0,2.9222222222222225,0.4929733334,0.58,
Amaranthus,Amaranthaceae,Caryophyllales,0.380734818,0.194174757,0.04368932,0.0,0.041463415,0.0,1.0,1.0,0.0,2.0,0.199,0.735263158,23.54830959
Ambrosia,Asteraceae,Asterales,0.158562368,0.034090909,0.547619048,0.170454545,0.00210989,0.015625,1.0,0.666666667,0.0,2.58694816475,0.95,2.375,49.9008065
Amelanchier,Rosaceae,Rosales,1.169590643,0.105263158,1.0,1.0,0.001060071,0.0,1.0,0.875,1.0,2.1739697801,0.8256875,1.1175,25.89801521
Ammannia,Lythraceae,Myrtales,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.833333333,1.0,2.3942552466726874,0.684,3.61002258814534,
Ammi,Apiaceae,Apiales,0.0,0.0,0.0,0.0,0.003968254,0.0,1.0,1.0,1.0,3.3888888888333333,0.925,2.5124782609130434,
Ammophila,Poaceae,Poales,5.0,0.1,1.0,0.0,0.074314214,1.0,1.0,0.0,0.0,1.7807017544210528,0.49689285714285714,4.815,0
Amorpha,Fabaceae,Fabales,0.0,0.0,1.0,1.0,0.096494845,0.7719298245789473,1.0,1.0,1.0,2.075313283157895,0.5700679541176471,1.6492406904042554,
Amphibromus,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.03468030404761905,1.7807017544210528,0.49689285714285714,3.99,
Amphicarpum,Poaceae,Poales,0.0,0.0,0.5,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.03468030404761905,1.7807017544210528,0.49689285714285714,4.6528267402125,
Amphipogon,Poaceae,Poales,0.0,0.0,1.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.0,1.7807017544210528,0.49689285714285714,4.6528267402125,
Amsinckia,Boraginaceae,Boraginales,0.246305419,0.034482759,0.0,0.0,0.001824818,0.0,1.0,1.0,1.0,4.0,0.33825,1.133333333,13.47816381
Amsonia,Apocynaceae,Gentianales,0.0,0.0,1.0,0.0,0.000658617,0.0,1.0,0.4166666666666667,1.0,1.9428571428571428,0.981,0.6835416667499999,
Amyema,Loranthaceae,Santalales,0.0,0.0,1.0,1.0,0.0,0.28760069469672456,0.9841325564285818,0.7694294731480881,1.0,2.3942552466726874,0.6304592000547441,11.71222222,21.3118243
Anabasis,Amaranthaceae,Caryophyllales,0.0,0.0,1.0,1.0,0.041463415,0.0,1.0,0.9744318181818182,0.35317136391304343,2.4484126984285717,0.199,1.3453542688666666,
Anacyclus,Asteraceae,Asterales,0.0,0.0,0.25,0.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025209,2.58694816475,0.6654010416875,6.4,22.19813419
Anagallis,Primulaceae,Ericales,0.0,0.0,0.333333333,0.0,0.0,0.0,1.0,0.833333333,1.0,3.0902930403333335,0.741,1.75,
Anarrhinum,Plantaginaceae,Lamiales,10.0,0.2,0.5,0.0,0.005925926,1.0,1.0,1.0,1.0,1.5,0.6612222223333334,1.208066109923077,
Anchusa,Boraginaceae,Boraginales,0.15015015,0.027027027,0.445945946,0.0,0.001824818,0.0,1.0,1.0,1.0,4.0,0.7039500000000001,1.4171923077000002,
Androcymbium,Colchicaceae,Liliales,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,2.3942552466726874,0.7468,2.89,
Andropogon,Poaceae,Poales,0.735294118,0.058823529,1.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.0,3.333333333,0.49689285714285714,4.378571429,0
Androsace,Primulaceae,Ericales,0.0,0.0,0.602941176,0.0,0.0,0.0,1.0,0.875,1.0,3.0902930403333335,0.741,2.521965909125,
Andryala,Asteraceae,Asterales,0.0,0.0,0.7,0.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,1.0,2.58694816475,0.6654010416875,2.225,27.64866965
Anemone,Ranunculaceae,Ranunculales,0.289855072,0.065217391,1.0,0.0,0.0,0.25,1.0,0.611111111,1.0,3.0,0.7035555556666667,17.23103448,41.21008428
Angelica,Apiaceae,Apiales,0.0,0.0,0.983333333,0.0,0.003968254,0.0,1.0,1.0,1.0,3.3888888888333333,0.925,3.23,
Angianthus,Asteraceae,Asterales,0.0,0.0,0.0,0.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025209,2.58694816475,0.6654010416875,3.3862005286025645,
Anisantha,Poaceae,Poales,0.0,0.0,0.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.03468030404761905,1.7807017544210528,0.49689285714285714,4.6528267402125,
Antennaria,Asteraceae,Asterales,0.354609929,0.083333333,1.0,0.0,0.00210989,0.015625,1.0,0.5,1.0,2.58694816475,0.729,3.3862005286025645,
Anthemis,Asteraceae,Asterales,0.016228497,0.006329114,0.486842105,0.0,0.00210989,0.015625,1.0,1.0,1.0,4.0,0.6654010416875,8.175,4.757293329
Anthericum,Asparagaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,2.9,0.956,8.635,95.23626943
Anthoxanthum,Poaceae,Poales,0.0,0.0,0.5,0.0,0.074314214,1.0,1.0,0.75,0.0,1.7807017544210528,0.49689285714285714,5.9,
Anthriscus,Apiaceae,Apiales,0.0,0.0,0.333333333,0.0,0.003968254,0.0,1.0,0.75,1.0,3.3888888888333333,0.925,2.25,
Anthyllis,Fabaceae,Fabales,0.0,0.0,0.643410853,0.789473684,0.096494845,0.7719298245789473,1.0,1.0,1.0,2.075313283157895,0.5700679541176471,0.575,23.36526755
Antidesma,Phyllanthaceae,Malpighiales,100.0,0.5,1.0,1.0,0.002292264,0.0,0.9841325564285818,0.7694294731480881,1.0,1.75,0.6304592000547441,1.146666667,
Antinoria,Poaceae,Poales,0.0,0.0,0.25,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.03468030404761905,1.7807017544210528,0.49689285714285714,4.6528267402125,
Antirrhinum,Plantaginaceae,Lamiales,0.64516129,0.096774194,0.59375,0.28125,0.005925926,1.0,1.0,1.0,1.0,3.0,0.815,0.778,0
Aotus,Fabaceae,Fabales,0.0,0.0,1.0,1.0,0.096494845,0.7719298245789473,1.0,0.9291558728928572,1.0,2.075313283157895,0.5700679541176471,1.6492406904042554,
Apera,Poaceae,Poales,0.0,0.0,0.0,0.0,0.074314214,1.0,1.0,1.0,0.0,1.7807017544210528,0.49689285714285714,5.4,
Aphanes,Rosaceae,Rosales,0.0,0.0,0.0,0.0,0.001060071,0.0,0.75,1.0,1.0,2.0,0.8256875,0.58,
Aphanostephus,Asteraceae,Asterales,0.0,0.0,0.25,0.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025209,2.58694816475,0.6654010416875,3.3862005286025645,
